,receiver
0,20
1,14
2,19
3,6
4,7
5,2
6,8
7,22
8,12
9,12
10,3
11,16
12,5
13,7
14,18
15,21
16,3
17,8
18,13
19,5
20,10
21,5
22,10
23,17
24,6
25,22
26,2
27,16
28,9
29,13
30,19
31,5
32,4
33,4
34,12
35,18
36,3
37,2
38,11
39,8
40,15
41,20
42,4
43,7
44,10
45,12
46,17
47,16
48,11
49,9
50,6
51,2
52,22
53,2
54,11
55,7
56,5
57,3
58,14
59,7
60,3
61,22
62,20
63,5
64,18
65,5
66,15
67,3
68,5
69,17
70,4
71,4
72,12
73,13
74,5
75,11
76,1
77,9
78,17
79,5
80,6
81,16
82,5
83,7
84,1
85,11
86,18
87,12
88,22
89,1
90,6
91,1
92,19
93,21
94,1
95,2
96,8
97,18
98,13
99,14
100,3
101,19
102,5
103,13
104,4
105,20
106,13
107,9
108,4
109,14
110,10
111,4
112,19
113,22
114,4
115,5
116,9
117,10
118,7
119,11
120,13
121,13
122,14
123,3
124,19
125,7
126,9
127,22
128,5
129,15
130,2
131,19
132,18
133,19
134,11
135,16
136,6
137,15
138,21
139,21
140,14
141,10
142,18
143,21
144,11
145,1
146,17
147,20
148,5
149,2
150,10
151,6
152,20
153,2
154,11
155,14
156,8
157,6
158,8
159,22
160,3
161,4
162,8
163,20
164,16
165,5
166,12
167,16
168,9
169,14
170,1
171,21
172,22
173,17
174,6
175,17
176,21
177,12
178,13
179,6
180,1
181,21
182,10
183,6
184,10
185,19
186,3
187,12
188,18
189,16
190,15
191,11
192,13
193,14
194,7
195,16
196,4
197,12
198,6
199,8
200,10
201,4
202,11
203,2
204,1
205,12
206,6
207,15
208,13
209,22
210,18
211,2
212,4
213,15
214,15
215,12
216,7
217,8
218,22
219,22
220,11
221,4
222,16
223,5
224,2
225,8
226,8
227,14
228,17
229,19
230,4
231,12
232,22
233,6
234,17
235,8
236,21
237,15
238,7
239,20
240,17
241,2
242,8
243,17
244,5
245,2
246,6
247,9
248,5
249,8
250,10
251,1
252,11
253,1
254,1
255,21
256,20
257,20
258,14
259,15
260,16
261,20
262,9
263,15
264,13
265,5
266,5
267,14
268,22
269,5
270,1
271,18
272,22
273,6
274,3
275,9
276,13
277,17
278,5
279,2
280,3
281,4
282,11
283,11
284,3
285,9
286,7
287,14
288,15
289,15
290,5
291,1
292,22
293,6
294,7
295,5
296,19
297,5
298,15
299,3
300,9
301,20
302,2
303,8
304,11
305,14
306,21
307,15
308,3
309,18
310,9
311,21
312,4
313,2
314,12
315,20
316,7
317,6
318,14
319,2
320,1
321,6
322,5
323,15
324,4
325,2
326,7
327,16
328,1
329,18
330,5
331,14
332,14
333,6
334,4
335,5
336,3
337,21
338,14
339,21
340,21
341,1
342,20
343,14
344,12
345,22
346,9
347,13
348,15
349,7
350,13
351,17
352,13
353,15
354,8
355,18
356,6
357,11
358,16
359,10
360,21
361,6
362,16
363,12
364,6
365,15
366,19
367,19
368,21
369,7
370,2
371,21
372,2
373,2
374,17
375,14
376,5
377,2
378,1
379,19
380,6
381,17
382,3
383,19
384,5
385,6
386,19
387,16
388,11
389,16
390,15
391,1
392,8
393,5
394,6
395,2
396,21
397,12
398,11
399,6
400,20
401,7
402,6
403,2
404,17
405,3
406,12
407,5
408,11
409,4
410,22
411,16
412,17
413,9
414,8
415,22
416,6
417,15
418,18
419,21
420,18
421,15
422,14
423,1
424,3
425,7
426,15
427,4
428,15
429,15
430,14
431,22
432,20
433,7
434,9
435,9
436,15
437,12
438,10
439,14
440,10
441,16
442,3
443,3
444,13
445,13
446,3
447,16
448,20
449,4
450,15
451,20
452,17
453,7
454,11
455,12
456,21
457,20
458,8
459,14
460,12
461,4
462,16
463,16
464,19
465,9
466,1
467,11
468,2
469,18
470,13
471,19
472,2
473,19
474,2
475,22
476,17
477,18
478,9
479,16
480,4
481,21
482,2
483,10
484,4
485,21
486,15
487,8
488,15
489,20
490,11
491,13
492,15
493,18
494,15
495,7
496,17
497,4
498,22
499,4
500,12
501,2
502,15
503,13
504,21
505,18
506,7
507,6
508,6
509,15
510,15
511,19
512,17
513,3
514,21
515,22
516,2
517,2
518,14
519,19
520,20
521,16
522,16
523,8
524,17
525,1
526,21
527,13
528,18
529,13
530,13
531,5
532,7
533,16
534,22
535,4
536,21
537,20
538,9
539,3
540,11
541,9
542,21
543,18
544,21
545,8
546,22
547,11
548,1
549,16
550,3
551,18
552,20
553,3
554,3
555,12
556,5
557,14
558,21
559,1
560,13
561,4
562,22
563,12
564,16
565,8
566,7
567,10
568,19
569,16
570,19
571,2
572,21
573,16
574,2
575,10
576,8
577,7
578,12
579,1
580,6
581,11
582,2
583,19
584,15
585,1
586,13
