"Id","Predicted","P_1","P_2","P_3","P_4","P_5","P_6","P_7","P_8","P_9","P_10","P_11","P_12","P_13","P_14","P_15","P_16","P_17","P_18","P_19","P_20","P_21","P_22"
"Estimation",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0.26912176609039307,0.10779276490211487,0.38482585549354553,0.0021699070930480957,0.006999760866165161,0.092744380235672,0.005773484706878662,0.07356515526771545,0.20419439673423767,0.0013905167579650879,0.14906823635101318,0.2570003271102905,0.0002618730068206787,0.008080482482910156,0.13578316569328308,0.299744188785553,0.0026400089263916016,0.004160702228546143,0.38415586948394775,0.0004474520683288574,0.004805922508239746,0.00010704487067414448
1,3,0.6281397938728333,0.03862246870994568,0.7753335237503052,0.00010550224396865815,0.3032791018486023,0.0029459893703460693,0.007114678621292114,0.002428412437438965,0.12459912896156311,0.00025326013565063477,0.5781842470169067,0.3735712766647339,0.0013588368892669678,0.33846861124038696,0.05251392722129822,0.04542982578277588,0.2569374442100525,0.19613969326019287,0.0012480318546295166,0.014937132596969604,0.1753135323524475,0.03867349028587341
2,2,0.03504207730293274,0.7743322849273682,0.00010548222053330392,0.06274071335792542,0.07274177670478821,0.6467177867889404,0.4232199490070343,0.00377008318901062,0.009139001369476318,0.0009497702121734619,0.017523527145385742,0.09542301297187805,0.1666785180568695,0.15149176120758057,0.2814676761627197,0.36657989025115967,0.01998576521873474,0.07452759146690369,0.00764542818069458,0.3912047743797302,0.07089081406593323,0.16401827335357666
3,5,0.938123345375061,0.8822383880615234,0.6046894788742065,0.4289238452911377,0.9449398517608643,0.649117112159729,0.00010557602217886597,0.8207912445068359,0.4791702628135681,0.7285407185554504,0.45344477891921997,0.3508113622665405,0.28966790437698364,0.0862017571926117,0.3244553208351135,0.09509766101837158,0.41119450330734253,0.05655580759048462,0.32009804248809814,0.1993233561515808,0.49686235189437866,0.2577352523803711
4,20,0.17034170031547546,0.34389108419418335,0.46413880586624146,0.037335485219955444,0.00425344705581665,0.23494476079940796,0.07455876469612122,0.07278114557266235,0.15977054834365845,0.09368327260017395,0.001018136739730835,0.002271413803100586,0.00010581925016595051,0.0025658905506134033,0.23269790410995483,0.025625169277191162,0.1497081220149994,0.18144875764846802,0.6565343737602234,0.819542646408081,0.013355344533920288,0.07515150308609009
5,8,0.1437952220439911,0.6973697543144226,0.8229192495346069,0.04578790068626404,0.013013839721679688,0.8164018392562866,0.32074615359306335,0.9269064664840698,0.016246765851974487,0.00010567715798970312,0.0010979175567626953,0.35146820545196533,0.33879774808883667,0.004963010549545288,0.13246700167655945,0.11573976278305054,0.4643233120441437,0.08495897054672241,0.3691830039024353,0.13161104917526245,0.4599511921405792,0.5274108648300171
6,15,0.4828876554965973,0.5148406028747559,0.12146854400634766,0.35005077719688416,0.16003715991973877,0.3874845802783966,0.383461058139801,0.05176663398742676,0.15843471884727478,0.23923787474632263,0.004650503396987915,0.010584235191345215,0.004636287689208984,0.00010589274461381137,0.8657997250556946,0.7249787449836731,0.799053430557251,0.7968660593032837,0.2952131927013397,0.18925845623016357,0.013089597225189209,0.7804515361785889
7,21,0.4678802788257599,0.49706172943115234,0.1289333701133728,0.1232970654964447,0.4612930715084076,0.18877914547920227,0.4592636227607727,0.40336090326309204,0.09863781929016113,0.29665374755859375,0.05857992172241211,0.8501845002174377,0.10422852635383606,0.034598082304000854,0.15796434879302979,0.00010607295553199947,0.05229797959327698,0.5840399861335754,0.7819995880126953,0.63430255651474,0.888239860534668,0.0191514790058136
8,16,0.02296164631843567,0.046346455812454224,0.09011635184288025,0.00043201446533203125,0.2799976170063019,0.0012341141700744629,0.4539605379104614,0.35793930292129517,0.24017682671546936,0.00545075535774231,0.481708824634552,0.0001057650733855553,0.5014269948005676,0.7322138547897339,0.7384953498840332,0.876744270324707,0.0152970552444458,0.010547369718551636,0.352051317691803,0.07943081855773926,0.7724521160125732,0.7469375133514404
